"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,IFSI Charleville-Mezières,Grand Est,D.E Infirmier,48.0
Public,IUT Reims-Châlons-Charleville site de Charleville,Grand Est,BUT - Hygiène Sécurité Environnement,70.0
Public,EiSINe - Charleville-Mézières,Grand Est,Licence - Sciences pour l'ingénieur,83.0
Privé enseignement supérieur,South Champagne Business School - Campus de Charleville-Mézières,Grand Est,Formation des écoles de commerce et de management Bac + 3 - Global Bachelor in Management (GBM),83.0
Public,Lycée polyvalent Pyrène,Occitanie,FCIL classe passerelle BTS,0.0
Public,Lycée polyvalent Pyrène,Occitanie,BTS - Production - Electrotechnique,9.0
Public,L.E.G.T.A. de Pamiers,Occitanie,BTS - Agricole - productions animales,40.0
Public,IFSI CH Int Val Ariège,Occitanie,D.E Infirmier,61.0
Public,Université Toulouse 2 - Antenne de Foix,Occitanie,"Licence - Sciences sociales - Parcours pluridisciplinaire : histoire, géographie, sociologie, économie",92.0
Public,Lycée professionnel VAL MORé (maintenance des matériels...),Grand Est,BTS - Production - Techniques et services en matériels agricoles,10.0
Public,Lycée Marie De Champagne,Grand Est,BTS - Services - Economie sociale familiale,19.0
Public,Iut De Troyes,Grand Est,BUT - Génie électrique et informatique industrielle,70.0
Public,Iut De Troyes,Grand Est,BUT - Carrières juridiques,56.0
Public,Lycée agricole Forestier de Crogny,Grand Est,BTS - Agricole - Gestion forestière,46.0
Privé sous contrat d'association,Lycée agricole Sainte Maure,Grand Est,BTS - Agricole - Gestion et maitrise de l'eau,48.0
Public,Lycée Edouard Herriot,Grand Est,BTS - Production - Métiers de la mode-vêtements,13.0
Public,Campus des Comtes de champagne - URCA,Grand Est,Licence - Droit,80.0
Public,Campus des Comtes de champagne - URCA,Grand Est,Licence - Sciences pour la santé - Economie et gestion : Campus des Comtes de champagne - URCA  -  Accès Santé,81.0
Public,Campus des Comtes de champagne - URCA,Grand Est,Licence - Economie et gestion,72.0
Privé enseignement supérieur,South Champagne Business School Troyes (YSchools),Grand Est,Formation des écoles de commerce et de management,91.0
Privé enseignement supérieur,EPF Troyes,Grand Est,"Formation Bac + 3 - Bachelors - Bacs séries générale, STI2D, STAV, STL, ST2S, bacs pros identifiés et Bac+1 (Statut d'apprenti sur tout ou partie des années, au-delà de la première)",89.0
Public,Lycée Polyvalent Germaine Tillion,Occitanie,BTS - Production - Bâtiment,15.0
Public,Lycée polyvalent Louise Michel,Occitanie,Diplôme de Comptabilité et de Gestion,68.0
Public,IFSI CH Narbonne,Occitanie,D.E Infirmier,57.0
Privé sous contrat d'association,Ecole Sup. La Raque,Occitanie,BTS - Agricole - Agronomie et cultures durables,53.0
Privé sous contrat d'association,Ecole Sup. La Raque,Occitanie,"BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques",26.0
Public,Lycée La Découverte,Occitanie,BTS - Production - Biotechnologies,33.0
Public,Lycée Jean Jaures,Occitanie,BTS - Production - Electrotechnique,3.0
Public,L.E.G.T.A. Villefranche de Rouergue,Occitanie,BTS - Production - Bioqualité,23.0
Public,I.U.T de Rodez,Occitanie,BUT - Informatique,73.0
Public,L.E.G.T.A. Rodez-La Roque,Occitanie,"BTS - Agricole - Analyses biologiques, biotechnologiques, agricoles et environnementales",65.0
Privé enseignement supérieur,EGC Rodez,Occitanie,Formation des écoles de commerce et de management Bac + 3,77.0
Privé sous contrat d'association,Lycée Charles Carnus,Occitanie,BTS - Production - Electrotechnique,8.0
Public,Institut national universitaire Champollion - Campus de Rodez,Occitanie,Licence - Portail Langues étrangères appliquées - Affaires et Commerce International,82.0
Privé enseignement supérieur,SPE FORMATION,Occitanie,BPJEPS - Spécialité Animateur - Mention Loisirs tous publics,50.0
Privé enseignement supérieur,SPE FORMATION,Occitanie,BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme,0.0
Public,Lycée professionnel Gambetta,Provence Alpes Côte d'Azur,BTS - Services - Management Commercial Opérationnel,39.0
Public,Lycée Montmajour,Provence Alpes Côte d'Azur,BTS - Services - Comptabilité et gestion,47.0
