"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,"Centre de Ressources, d'Expertise et de Performance Sportive du Centre (CREPS)",Centre-Val de Loire,BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous,56.0
Public,Lycée Georges Cabanis,Nouvelle-Aquitaine,BTS - Services - Conseil et commercialisation de solutions techniques,20.0
Public,Lycée Pierre Caraminot,Nouvelle-Aquitaine,BTS - Production - Travaux publics,24.0
Public,Lycée Edmond Perrier,Nouvelle-Aquitaine,BTS - Services - Support à l'action managériale,16.0
Privé hors contrat,IBSAC (Ecole secondaire professionnelle privée),Nouvelle-Aquitaine,BTS - Services - Management Commercial Opérationnel,41.0
Privé sous contrat d'association,Lycée Bahuet,Nouvelle-Aquitaine,FCIL - Médiateur Numérique auprès des Personnes Vulnérables,0.0
Public,Campus du Végétal du pays de Brive,Nouvelle-Aquitaine,"BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement",48.0
Public,Campus du Végétal du pays de Brive,Nouvelle-Aquitaine,BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie,25.0
Public,LEGTA Edgard PISANI de Tulle-Naves,Nouvelle-Aquitaine,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",20.0
Public,IFSI CH de Tulle,Nouvelle-Aquitaine,D.E Infirmier,54.0
Public,Lycée Clos Maire,Bourgogne-Franche-Comté,BTS - Services - Tourisme,40.0
Public,Lycée Montchapet,Bourgogne-Franche-Comté,BTS - Services - Négociation et digitalisation de la Relation Client,15.0
Public,Lycée Hippolyte Fontaine,Bourgogne-Franche-Comté,"BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique",5.0
Public,Lycée Le Castel,Bourgogne-Franche-Comté,BTS - Services - Support à l'action managériale,11.0
Public,Lycée Le Castel,Bourgogne-Franche-Comté,CPGE - ECT - Option technologique,0.0
Public,Lycée Anna Judic Semur en Auxois,Bourgogne-Franche-Comté,BTS - Services - Gestion de la PME,17.0
Public,École nationale supérieure d-art de Dijon,Bourgogne-Franche-Comté,Diplôme National d'Art,91.0
Public,Lycée Gustave Eiffel,Bourgogne-Franche-Comté,Mention complémentaire - Technicien en réseau électrique,0.0
Public,Lycée Gustave Eiffel,Bourgogne-Franche-Comté,CPGE - Prépa ENS Paris-Saclay,100.0
Privé enseignement supérieur,IRTESS,Bourgogne-Franche-Comté,D.E Educateur Spécialisé,56.0
Privé sous contrat d'association,Lycée Saint Joseph,Bourgogne-Franche-Comté,BTS - Production - Electrotechnique,16.0
Public,I.U.T de Dijon,Bourgogne-Franche-Comté,BUT - Information communication Parcours métiers du livre et du patrimoine,63.0
Public,I.U.T de Dijon,Bourgogne-Franche-Comté,BUT - Informatique,60.0
Public,I.U.T de Dijon,Bourgogne-Franche-Comté,BUT - Gestion administrative et commerciale des organisations,60.0
Public,I.U.T de Dijon,Bourgogne-Franche-Comté,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,77.0
Public,I.U.T de Dijon,Bourgogne-Franche-Comté,BUT - Métiers du multimédia et de l'internet,46.0
Public,LEGTA La Barotte - Haute Côte-d'Or,Bourgogne-Franche-Comté,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",19.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,"Licence - Portail Langues, littératures et civilisations étrangères et régionales - Métiers des langues - Allemand",100.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Parcours d'Accès Spécifique Santé (PASS),94.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,"Licence - Double diplôme - Licence Langues, littératures et civilisations étrangères et régionales - LLCER Allemand Parcours bidisciplinaire binational franco-allemand : Allemand-Anglais / Allemand-Histoire / Allemand-Lettres / Allemand-Philosophie",100.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Portail Philosophie,83.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Sociologie,83.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Double diplôme - Licence Lettres - Lettres Parcours bidisciplinaire binational franco-allemand : Lettres-Allemand / Lettres-Anglais / Lettres-Histoire / Lettres-Philosophie,100.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Portail Chimie / Informatique / Mathématiques / Physique / Sciences pour l'Ingénieur (Electronique ou Mécanique),95.0
Public,Lycée professionnel Antoine,Bourgogne-Franche-Comté,Mention complémentaire - Cybersécurité,0.0
Public,Sciences Po - campus de Dijon - Institut d'études politiques,Bourgogne-Franche-Comté,Sciences Po / Instituts d'études politiques - Sciences Humaines et Sociales - Grade Master - Bachelor du Collège universitaire de Sciences Po,100.0
Privé enseignement supérieur,CESI Campus de Dijon,Bourgogne-Franche-Comté,"Formation d'ingénieur Bac + 5 - Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués",93.0
Privé enseignement supérieur,ESTP Campus de Dijon,Bourgogne-Franche-Comté,Diplôme d'Etablissement - Bachelor Manager de la construction,84.0
Public,Lycée De La Fontaine Des Eaux,Bretagne,BTS - Services - Gestion de la PME,9.0
Public,Lycée Felix Le Dantec,Bretagne,BTS - Services - Commerce International,40.0
Public,Lycée Eugene Freyssinet,Bretagne,BTS - Production - Bâtiment,11.0
Public,Lycée professionnel Eugene Freyssinet,Bretagne,BTS - Production - Etude et réalisation d'agencement,20.0
Privé sous contrat d'association,Lycée Les Cordeliers Notre Dame de la Victoire,Bretagne,BTS - Services - Communication,39.0
Privé sous contrat d'association,Lycée-Collège NOTRE-DAME,Bretagne,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,30.0
Privé sous contrat d'association,Lycée Notre Dame De Campostal,Bretagne,BTS - Services - Service et prestation des secteurs sanitaire et social,12.0
Privé sous contrat d'association,Lycée/Pôle supérieur Saint BRIEUC,Bretagne,BTS - Services - Négociation et digitalisation de la Relation Client,13.0
Privé sous contrat d'association,Lycée/Pôle supérieur Saint BRIEUC,Bretagne,BTS - Services - Comptabilité et gestion,37.0
Privé sous contrat d'association,Lycée Sacre Coeur,Bretagne,"BTS - Production - Conception et Réalisation de Systèmes Automatiques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",14.0
Privé sous contrat d'association,Lycée professionnel Montbareil,Bretagne,BTS - Services - Métiers de la coiffure,24.0
Public,Lycée agricole Kernilien,Bretagne,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",17.0
Privé sous contrat d'association,Lycée agricole ESPA,Bretagne,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",12.0
Public,Lycée Kerraoul,Bretagne,BTS - Services - Economie sociale familiale,24.0
Privé sous contrat d'association,Lycée agricole St ILAN,Bretagne,BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie,20.0
Privé sous contrat d'association,MFREO de Loudéac,Bretagne,BTS - Agricole - génie des équipements agricoles,5.0
Privé enseignement supérieur,Facultés libres de l'ouest - UCO - Bretagne Nord,Bretagne,Licence - Sciences et technologies,74.0
Public,UFR Sciences Sociales - Université de Rennes 2 - Site de Saint-Brieuc,Bretagne,Licence - Langues étrangères appliquées - Parcours Antenne univeritaire de la ville de Saint Brieuc - Langues Etrangères Appliquées : Anglais et Espagnol (niveau B1/B2 attendu pour les 2 langues),79.0
Public,Université de Rennes (EPE) - Site de Saint-Brieuc,Bretagne,Licence - Parcours d'Accès Spécifique Santé (PASS),97.0
Public,Lycée Des Metiers Du Batiment,Nouvelle-Aquitaine,BTS - Production - Systèmes constructifs bois et habitat,17.0
Public,Lycée Pierre Bourdan,Nouvelle-Aquitaine,BTS - Services - Gestion de la PME,20.0
Public,Lycée Raymond Loewy,Nouvelle-Aquitaine,"DN MADE - Matériaux - Spécialité : Textile responsable, éthique, prospectif et innovant : du matériau à l'objet",40.0
Public,Lycée Maine De Biran,Nouvelle-Aquitaine,BTS - Services - Management Commercial Opérationnel,11.0
Public,Lycée Bertran De Born,Nouvelle-Aquitaine,CPGE - PCSI,100.0
Public,Lycée Bertran De Born,Nouvelle-Aquitaine,CPGE - Lettres,100.0
Public,Lycée Laure Gatet,Nouvelle-Aquitaine,BTS - Services - Comptabilité et gestion,34.0
Public,Lycée Albert Claveille,Nouvelle-Aquitaine,BTS - Production - Architectures en Métal : conception et Réalisation,5.0
Public,Lycée Albert Claveille,Nouvelle-Aquitaine,"BTS - Production - Motorisations toutes énergies (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",23.0
Public,Lycée Pre De Cordy,Nouvelle-Aquitaine,Classe de mise à niveau cinéma audiovisuel,86.0
Privé sous contrat d'association,Lycée professionnel Chambre Com Et Industrie,Nouvelle-Aquitaine,BTS - Services - Management en hôtellerie restauration,29.0
Privé sous contrat d'association,Lycée professionnel Chambre Com Et Industrie,Nouvelle-Aquitaine,Mise à niveau - Hôtellerie restauration,54.0
Public,I.U.T de Bordeaux - Site de Périgueux,Nouvelle-Aquitaine,"BUT - Carrières sociales Parcours animation sociale et socioculturelle (Statut d'apprenti sur tout ou partie des années, au-delà de la première)",52.0
Public,IFSI Bagatelle - John Bost Bergerac,Nouvelle-Aquitaine,D.E Infirmier,65.0
Public,Lycée Victor Hugo,Bourgogne-Franche-Comté,CPGE - PCSI,100.0
Public,Lycée Louis Pergaud,Bourgogne-Franche-Comté,BTS - Services - Support à l'action managériale,16.0
Public,Lycée Louis Pergaud,Bourgogne-Franche-Comté,BTS - Services - Services informatiques aux organisations,36.0
Public,Lycée Louis Pergaud,Bourgogne-Franche-Comté,CPGE - ECG -  - Mathématiques approfondies + HGG,99.0
Public,Lycée professionnel Pierre-Adrien Paris,Bourgogne-Franche-Comté,BTS - Production - Travaux publics,18.0
Public,Lycée Xavier Marmier,Bourgogne-Franche-Comté,BTS - Services - Comptabilité et gestion,24.0
Public,Lycée Xavier Marmier,Bourgogne-Franche-Comté,BTS - Services - Commerce International,54.0
Privé sous contrat d'association,Lycée Saint Paul,Bourgogne-Franche-Comté,BTS - Production - Conception de produits industriels,23.0
Privé sous contrat d'association,Lycée Saint Paul,Bourgogne-Franche-Comté,BTS - Production - Assistance technique d'ingénieur,34.0
Public,ENIL,Bourgogne-Franche-Comté,"BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) produits laitiers",56.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Portail Psychologie,76.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Géographie et aménagement,86.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Sciences de la terre - Parcours Géologie,94.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Portail Mathématiques,98.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Histoire - Parcours Préparation concours IEP Sciences po,100.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Portail Philosophie,83.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Portail Sciences pour l'ingénieur,90.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Informatique,87.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,C.M.I - Cursus Master en Ingénierie - Sciences pour l'ingénieur - Cursus Master en Ingénierie (CMI) :  Structures et systèmes intelligents,100.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Portail Droit,87.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Portail Sciences et Techniques des Activités Physiques et Sportives,88.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,"Cycle pluridisciplinaire d'Études Supérieures - Sciences pour l'ingénieur - Parcours: Ingénierie, Environnement et Société",99.0
Public,Université de Franche-Comté - Site de Besançon,Bourgogne-Franche-Comté,Licence - Portail Sciences et Techniques des Activités Physiques et Sportives,86.0
Privé sous contrat d'association,Lycée professionnel Agricole François Xavier,Bourgogne-Franche-Comté,BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson,10.0
Public,Lycée Claude Nicolas Ledoux,Bourgogne-Franche-Comté,"DN MADE - Espace - Spécialité : cadre de vie, scénographie et agencement",68.0
Public,Lycée Claude Nicolas Ledoux,Bourgogne-Franche-Comté,BTS - Services - Assurance,37.0
Public,Lycée Claude Nicolas Ledoux,Bourgogne-Franche-Comté,BTS - Production - Etude et réalisation d'agencement,3.0
Privé enseignement supérieur,IRTS de Franche-Comté,Bourgogne-Franche-Comté,D.E Educateur de Jeunes Enfants,64.0
Privé enseignement supérieur,IRTS de Franche-Comté,Bourgogne-Franche-Comté,D.E Assistant de Service Social,60.0
Public,IUT Nord Franche-Comté - Site de Montbéliard,Bourgogne-Franche-Comté,BUT - Réseaux et télécommunications,76.0
Privé hors contrat,Trajectoire formation,Bourgogne-Franche-Comté,BPJEPS - Spécialité Animateur - Mention Activités du cirque,90.0
Privé hors contrat,Trajectoire formation,Bourgogne-Franche-Comté,DEJEPS - Spécialité Animation socio-éducative ou culturelle - Mention Animation sociale,43.0
Privé hors contrat,Trajectoire formation,Bourgogne-Franche-Comté,BPJEPS - Spécialité animateur - Mention Animation sociale,24.0
Public,Lycée polyvalent Germaine Tillion,Bourgogne-Franche-Comté,BTS - Services - Métiers de l'audio-visuel opt : métiers du son,83.0
Public,Lycée polyvalent Germaine Tillion,Bourgogne-Franche-Comté,BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements,69.0
Public,Lycée polyvalent Germaine Tillion,Bourgogne-Franche-Comté,BTS - Production - Electrotechnique,4.0
Public,Lycée DU DIOIS,Auvergne-Rhône-Alpes,"BTS - Production - Management économique de la construction (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",19.0
Public,Lycée CAMILLE VERNET,Auvergne-Rhône-Alpes,CPGE - ECG,100.0
Public,Lycée CAMILLE VERNET,Auvergne-Rhône-Alpes,CPGE - ECG,100.0
Public,Lycée CAMILLE VERNET,Auvergne-Rhône-Alpes,CPGE - PCSI,100.0
Privé sous contrat d'association,Lycée Montplaisir,Auvergne-Rhône-Alpes,BTS - Services - Gestion de la PME,22.0
Public,Lycée Les Catalins,Auvergne-Rhône-Alpes,"BTS - Production - Conception et Réalisation de Systèmes Automatiques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",6.0
Public,Lycée agricole De Romans Sur Isere,Auvergne-Rhône-Alpes,BTS - Agricole - Aménagements paysagers,24.0
Public,École supérieure d'art et design Grenoble-Valence - Site de Valence,Auvergne-Rhône-Alpes,Diplôme National d'Art,88.0
Public,I.U.T de Valence,Auvergne-Rhône-Alpes,BUT - Informatique,70.0
Privé sous contrat d'association,MFR Anneyron,Auvergne-Rhône-Alpes,"BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement",28.0
Privé sous contrat d'association,SYLVA CAMPUS,Auvergne-Rhône-Alpes,BTS - Agricole - Technico-commercial - Spécialité produit de la filière bois,33.0
Privé hors contrat,Ecole technique privée EPSECO,Auvergne-Rhône-Alpes,BTS - Services - Diététique,53.0
Public,Université Grenoble Alpes - Antenne de Valence,Auvergne-Rhône-Alpes,Licence - Portail Droit - Droit - Valence,78.0
Public,Université Grenoble Alpes - Antenne de Valence,Auvergne-Rhône-Alpes,"Licence - Portail Physique - Physique, Chimie, Mécanique, Mathématiques (PCMM)",97.0
Public,Université Grenoble Alpes - Antenne de Valence,Auvergne-Rhône-Alpes,"Licence - Portail Informatique - Informatique, Mathématiques et Applications (IMA)",96.0
Public,LPO LYCEE DES METIERS ALGOUD - LAFFEMAS,Auvergne-Rhône-Alpes,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",25.0
Public,LPO LYCEE DES METIERS ALGOUD - LAFFEMAS,Auvergne-Rhône-Alpes,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",21.0
Public,Lycée Aristide Briand,Normandie,Diplôme de Comptabilité et de Gestion,62.0
Public,Lycée agricole Edouard de Chambray,Normandie,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",22.0
Public,Lycée agricole d'Evreux,Normandie,BTS - Agricole - Aménagements paysagers,35.0
Public,I.U.T d'Evreux,Normandie,BUT - Mesures physiques,83.0
Public,I.U.T d'Evreux,Normandie,BUT - Gestion des entreprises et des administrations,61.0
Public,Université de Rouen Normandie - Campus Evreux,Normandie,Licence - Portail Sciences de la vie - Licence Sciences de la vie,94.0
Privé sous contrat d'association,IRTS-IDS (site d'Evreux),Normandie,D.E Educateur Spécialisé,52.0
Public,Lycée Marceau,Centre-Val de Loire,CPGE - PCSI,100.0
Public,Lycée Jehan De Beauce,Centre-Val de Loire,BTS - Services - Economie sociale familiale,28.0
Privé sous contrat d'association,Lycée Notre Dame,Centre-Val de Loire,BTS - Production - Métiers de la chimie,45.0
Public,Lycée agricole de Chartres - La Saussaye,Centre-Val de Loire,"BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques",25.0
Public,Lycée Fulbert,Centre-Val de Loire,BTS - Services - Négociation et digitalisation de la Relation Client,28.0
Public,Lycée Fulbert,Centre-Val de Loire,BTS - Services - Comptabilité et gestion,47.0
Public,Lycée Joséphine Baker,Centre-Val de Loire,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",19.0
Public,Lycée Vauban,Bretagne,BTS - Production - Conception et réalisation en chaudronnerie industrielle,5.0
Public,Lycée Vauban,Bretagne,DN MADE - Matériaux - Spécialité : Création métal,53.0
Public,Lycée Vauban,Bretagne,BTS - Production - Motorisations toutes énergies - parcours Marine Nationale/Maistrance-Défense,44.0
Public,Lycée Vauban,Bretagne,CPGE - PTSI,99.0
Public,Lycée Jules Lesven,Bretagne,BTS - Services - Gestion de la PME,18.0
Public,Lycée Jules Lesven,Bretagne,CPGE - ECT - Option technologique,0.0
Public,Lycée Paul Sérusier,Bretagne,BTS - Services - Conseil et commercialisation de solutions techniques,13.0
Public,Lycée Tristan Corbiere,Bretagne,BTS - Production - Conception et industrialisation en microtechniques,16.0
Public,Lycée Naval,Bretagne,CPGE - MPSI,100.0
Public,Lycée Jean Chaptal,Bretagne,BTS - Services - Services informatiques aux organisations,35.0
Public,Lycée polyvalent Dupuy de Lôme,Bretagne,BTS - Services - Service et prestation des secteurs sanitaire et social,16.0
Privé sous contrat d'association,Lycée St Louis,Bretagne,BTS - Services - Services informatiques aux organisations,25.0
Privé sous contrat d'association,Lycée Le Likès,Bretagne,BTS - Production - Management économique de la construction,7.0
Privé sous contrat d'association,Lycée Le Likès,Bretagne,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),17.0
Privé sous contrat d'association,Lycée N-D DU KREISKER,Bretagne,BTS - Services - Commerce International,38.0
Privé sous contrat d'association,Lycée Sup'Javouhey BREST,Bretagne,Diplôme de Comptabilité et de Gestion,52.0
Privé sous contrat d'association,Lycée Le Paraclet,Bretagne,DN MADE - Événement - Spécialité : Espaces événementiels et volumes de communication,63.0
Privé sous contrat d'association,Lycée Le Paraclet,Bretagne,"BTS - Services - Management en hôtellerie restauration (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",23.0
Privé sous contrat d'association,Lycée La Croix Rouge,Bretagne,DTS Imagerie médicale et radiologie thérapeutique,77.0
Public,Lycée agricole De L'Aulne,Bretagne,BTS - Agricole - Aménagements paysagers,32.0
Public,Université de Brest,Bretagne,Licence - Portail Philosophie,86.0
Public,Université de Brest,Bretagne,Licence - Lettres - Parcours Lettres Classiques,86.0
Public,Université de Brest,Bretagne,Licence - Parcours d'Accès Spécifique Santé (PASS),97.0
Public,Université de Brest,Bretagne,Licence - Portail Economie et management,79.0
Public,Université de Brest,Bretagne,"Licence - Portail Administration économique et sociale - Administration et gestion des entreprises, Administration et gestion des territoires",67.0
Public,Université de Brest,Bretagne,Licence - Arts - Parcours pratique danse,78.0
Public,Université de Brest,Bretagne,Licence - Parcours d'Accès Spécifique Santé (PASS),100.0
Public,Université de Brest,Bretagne,Licence - Parcours d'Accès Spécifique Santé (PASS),99.0
Public,Université de Brest,Bretagne,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Breton",81.0
Public,Université de Brest,Bretagne,Licence - Arts - Parcours pratique arts de la scène,83.0
Public,Université de Brest,Bretagne,Licence - Parcours d'Accès Spécifique Santé (PASS),100.0
Public,Université de Brest,Bretagne,Licence - Psychologie,76.0
Public,I.U.T de Quimper,Bretagne,"BUT - Génie biologique parcours sciences de l'aliment et biotechnologie (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",88.0
Public,Université de Brest - Site de Quimper,Bretagne,Licence - Portail Droit - Droit parcours général,79.0
Public,Université de Brest - Site de Quimper,Bretagne,"Licence - Portail Langues, littératures et civilisations étrangères et régionales - LLCER Anglais",87.0
Public,IFSI C.H. Morlaix,Bretagne,D.E Infirmier,64.0
Public,I.U.T de Brest - Site de Morlaix,Bretagne,BUT - Génie civil - Construction durable,68.0
Privé sous contrat d'association,ITES BREST,Bretagne,D.E Educateur de Jeunes Enfants,62.0
Privé sous contrat d'association,ITES BREST,Bretagne,D.E Educateur Spécialisé,62.0
Privé enseignement supérieur,Facultés libres de l'ouest - UCO - Brest,Bretagne,Licence - Information et communication,69.0
Public,Lycée Jean-Baptiste Dumas,Occitanie,BTS - Production - Assistance technique d'ingénieur,9.0
Public,Lycée Jean-Baptiste Dumas,Occitanie,BTS - Production - Conception et Réalisation de Systèmes Automatiques,17.0
Public,Lycée Alphonse DAUDET,Occitanie,CPGE - ECG -  - Mathématiques appliquées + ESH,100.0
Public,Lycée ALBERT CAMUS,Occitanie,BTS - Services - Management Commercial Opérationnel,9.0
Public,Lycée ALBERT CAMUS,Occitanie,BTS - Production - Biotechnologies,44.0
Public,Lycée Dhuoda,Occitanie,BTS - Production - Enveloppe des bâtiments : conception et réalisation,12.0
Public,Lycée Dhuoda,Occitanie,"BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants",2.0
Public,Lycée Hemingway - De La Camargue,Occitanie,CPGE - Ecole normale supérieure Paris Saclay ? arts et design,76.0
Privé sous contrat d'association,Lycée Emmanuel d'Alzon,Occitanie,"CPGE - TSI - (en 3 ans, destinée aux bacs professionnels)",0.0
Privé sous contrat d'association,Lycée Emmanuel d'Alzon,Occitanie,CPGE - BCPST,100.0
Privé sous contrat d'association,Lycée Emmanuel d'Alzon,Occitanie,CPGE - TSI,0.0
Privé sous contrat d'association,Lycée Emmanuel d'Alzon,Occitanie,"BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air",7.0
Privé sous contrat d'association,Lycée Emmanuel d'Alzon,Occitanie,CPGE - MPSI,100.0
Privé sous contrat d'association,Lycée Emmanuel d'Alzon,Occitanie,BTS - Production - Aéronautique,68.0
Privé sous contrat d'association,Lycée De La Salle,Occitanie,BTS - Services - Prothésiste orthésiste,61.0
Public,Lycée Albert EINSTEIN,Occitanie,BTS - Production - Contrôle industriel et régulation automatique,8.0
Public,École supérieure des beaux-arts de Nîmes,Occitanie,Diplôme National d'Art,86.0
Privé sous contrat d'association,IFSI Croix Rouge Française Nîmes,Occitanie,D.E Infirmier,58.0
Public,IFSI CHU Nimes,Occitanie,D.E Infirmier,60.0
Privé hors contrat,Institut National des Formations Notariales de Nîmes,Occitanie,BTS - Services - Collaborateur juriste notarial,55.0
Privé sous contrat d'association,IFME (institut de formations aux métiers éducatifs) de Nîmes,Occitanie,D.E Assistant de Service Social,55.0
Public,Université de Nîmes,Occitanie,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours  Espagnol",77.0
Public,Université de Nîmes,Occitanie,Licence - Portail Psychologie,71.0
Public,Lycée Jacques Prévert,Occitanie,BTS - Services - Support à l'action managériale,15.0
Public,Lycée De Bagatelle,Occitanie,BTS - Services - Comptabilité et gestion,27.0
Public,Lycée Pierre De Fermat,Occitanie,CPGE - MP2I,100.0
Public,Lycée Pierre De Fermat,Occitanie,CPGE - ECG,100.0
Public,Lycée Raymond Naves,Occitanie,BTS - Services - Comptabilité et gestion,24.0
Public,Lycée Ozenne,Occitanie,CPGE - ECG,100.0
Public,Lycée Ozenne,Occitanie,CPGE - TB,0.0
Public,Lycée Ozenne,Occitanie,BTS - Services - Support à l'action managériale,14.0
Public,Lycée Ozenne,Occitanie,BTS - Services - Commerce International,28.0
Public,Lycée professionnel des métiers du bâtiment - Urbain Vitry,Occitanie,"BTS - Production - Finitions, aménagement des bâtiments: conception et réalisation",2.0
Public,Lycée professionnel de l'Ameublement,Occitanie,BTS - Production - Développement et Réalisation Bois,20.0
Public,Lycée professionnel de l'Ameublement,Occitanie,DN MADE - Objet - Spécialité : création et expérimentation en tapisserie décoration,45.0
Public,"Centre de Ressources, d'Expertise et de Performance Sportive de Toulouse (CREPS)",Occitanie,BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous,41.0
Public,Institut supérieur des arts de Toulouse,Occitanie,Diplôme National d'Art,79.0
Privé enseignement supérieur,Ecole d'ingénieurs de PURPAN,Occitanie,Formation d'ingénieur Bac + 5 - Voie d'accès bac série générale,100.0
Privé enseignement supérieur,Institut Catholique de Toulouse,Occitanie,Licence - Droit - Parcours Science Politique,100.0
Privé enseignement supérieur,Institut Catholique de Toulouse,Occitanie,Licence - Arts - Parcours Médiation et gestion d'actions culturelles,88.0
Privé enseignement supérieur,Toulouse Business School,Occitanie,Formation des écoles de commerce et de management Bac + 3 - Bachelor en Management,88.0
Public,I.U.T de Toulouse,Occitanie,"BUT - Génie mécanique et productique (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",58.0
Public,I.U.T de Toulouse,Occitanie,"BUT - Mesures physiques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",87.0
Public,I.U.T de Toulouse,Occitanie,"BUT - Information communication Parcours information numérique dans les organisations (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",50.0
Public,I.U.T de Toulouse,Occitanie,"BUT - Information communication Parcours métiers du livre et du patrimoine (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",62.0
Public,Lycée professionnel des Métiers Eugene MONTEL,Occitanie,Mention complémentaire - Technicien en chaudronnerie aéronautique et spatiale,0.0
Privé hors contrat,Pôle formation recherche Institut Saint Simon,Occitanie,D.E Educateur de Jeunes Enfants,37.0
Privé sous contrat d'association,Lycée Le Caousou,Occitanie,BTS - Production - Métiers du géomètre-topographe et de la modélisation numérique,60.0
Privé sous contrat d'association,Lycée Saint-Joseph,Occitanie,BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous,0.0
Privé sous contrat d'association,Lycée Billières,Occitanie,BTS - Services - Communication,46.0
Privé sous contrat d'association,Lycée professionnel De Coiffure Skhole D'Art,Occitanie,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,28.0
Public,L.E.G.T.A. Toulouse Auzeville,Occitanie,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",21.0
Public,Lycée Joséphine Baker,Occitanie,"DN MADE - Événement - Spécialité : identités, scénarios et scénographies",57.0
Public,Lycée professionnel Du Mirail,Occitanie,FCIL - Marchandiseur Visuel Cross Canal,0.0
Public,Université Toulouse 2 Jean Jaurès,Occitanie,Licence - Philosophie - Parcours Philosophie et humanités,89.0
Public,Université Toulouse 2 Jean Jaurès,Occitanie,Licence - Musicologie - Parcours Jazz et culture musicale,90.0
